SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH
false,121,624,907,1,1653,1.653,"0a81aebc3580cc79c9f54d54070d8a473c078d43
","https://github.com/sewenthy/gitoxide/commit/0a81aebc3580cc79c9f54d54070d8a473c078d43
",cargo,gitoxide,ext1-expr-active
true,65,615,1070,1,1751,1.7510000000000001,"ada5f112594b726cb808d3914fc42a269a480da4
","https://github.com/sewenthy/gitoxide/commit/ada5f112594b726cb808d3914fc42a269a480da4
",,gitoxide,ext2-expr-active
true,77,601,391,0,1071,1.071,"ab8d1ab82333f84289f4681d9c3ba8412dbd9685
","https://github.com/sewenthy/gitoxide/commit/ab8d1ab82333f84289f4681d9c3ba8412dbd9685
",,gitoxide,ext-com1-expr-active
true,104,626,1056,1,1788,1.788,"135f8e01bc26f801bf45954ac7fac0fb39aee75e
","https://github.com/sewenthy/gitoxide/commit/135f8e01bc26f801bf45954ac7fac0fb39aee75e
",,gitoxide,ext-com2-expr-active
true,89,615,848,1,1553,1.553,"fe5969af8084e85346378aea6190e49be1de2d1c
","https://github.com/sewenthy/gitoxide/commit/fe5969af8084e85346378aea6190e49be1de2d1c
",,gitoxide,inline-ext1-expr-active
true,91,633,2304,3,3029,3.029,"16dccfebbff9236ad9cab8721f45d972d19cc218
","https://github.com/sewenthy/gitoxide/commit/16dccfebbff9236ad9cab8721f45d972d19cc218
",,gitoxide,inline-ext2-expr-active
false,76,655,1017,1,1750,1.75,"125c3cf3f1810261c57534fe7279f4dff052a3a5
","https://github.com/sewenthy/gitoxide/commit/125c3cf3f1810261c57534fe7279f4dff052a3a5
",cargo,gitoxide,inline-ext3-expr-active
true,92,624,440,0,1157,1.157,"6bee0499660ef4f5040ff87d9d2f1c4fd08954d8
","https://github.com/sewenthy/gitoxide/commit/6bee0499660ef4f5040ff87d9d2f1c4fd08954d8
",,gitoxide,inline-ext4-expr-active
true,94,620,454,0,1169,1.169,"e2a3d9355efd814b2f3ddcde3337a38c718b09bd
","https://github.com/sewenthy/gitoxide/commit/e2a3d9355efd814b2f3ddcde3337a38c718b09bd
",,gitoxide,inline-ext5-expr-active
true,96,630,487,0,1214,1.214,"0599e8e2309fd2cb0d1b2ae15862f9903513fbe1
","https://github.com/sewenthy/gitoxide/commit/0599e8e2309fd2cb0d1b2ae15862f9903513fbe1
",,gitoxide,inline-ext6-expr-active
true,89,626,387,0,1103,1.103,"226c5002166fe47325b8fe51bdb0a0986196913a
","https://github.com/sewenthy/gitoxide/commit/226c5002166fe47325b8fe51bdb0a0986196913a
",,gitoxide,inline-ext7-expr-active
