SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NOTES
true,81,96,256,0,434,0.434,"ed29c623e21ed4d6cfe826443ed0b4c8e471f065
","https://github.com/sewenthy/petgraph/commit/ed29c623e21ed4d6cfe826443ed0b4c8e471f065
",,petgraph,ext1-expr-active,20114,89,27,within impl
true,161,166,990,0,1318,1.318,"c09df12ee59806d9a5056a699384fd3745ab8447
","https://github.com/sewenthy/petgraph/commit/c09df12ee59806d9a5056a699384fd3745ab8447
",,petgraph,ext2-expr-active,20115,921,20,new impl with generics annotated + invoc using self.bar
true,174,193,1567,1,1935,1.935,"b6ee6e554aa238e989dc54ab44167831cc1db554
","https://github.com/sewenthy/petgraph/commit/b6ee6e554aa238e989dc54ab44167831cc1db554
",,petgraph,ext3-expr-active,20115,921,8,new impl + invoc using self.bar + lt bound needed between genrics and output
true,98,111,1643,0,1852,1.852,"6ddd736443fc84307dbab56d378300684c03d094
","https://github.com/sewenthy/petgraph/commit/6ddd736443fc84307dbab56d378300684c03d094
",,petgraph,ext4-expr-active,20113,264,54,
false,109,112,409,1,631,0.631,"f423f3a46a8d6a734e02bb64c856e8a4feb57797
","https://github.com/sewenthy/petgraph/commit/f423f3a46a8d6a734e02bb64c856e8a4feb57797
",cargo,petgraph,inline-ext1-expr-active,20157,308,54,failed due to type inference on generics
true,50,60,764,0,875,0.875,"81699b5c3099bcbacc061ff2f65e00040672b484
","https://github.com/sewenthy/gitoxide/commit/81699b5c3099bcbacc061ff2f65e00040672b484
",,gitoxide,ext1-expr-active,9131,56,9,
true,83,95,1173,1,1352,1.352,"ee1211fa1e8106229b631f09e1802fc64a26d6bd
","https://github.com/sewenthy/gitoxide/commit/ee1211fa1e8106229b631f09e1802fc64a26d6bd
",,gitoxide,ext2-expr-active,771,109,53,complex lifetime + bounds + nlcf--used in paper
true,90,108,576,0,776,0.776,"c9bd9eedd72fb7116c50ec61e2f4f9f76e0a6e30
","https://github.com/sewenthy/gitoxide/commit/c9bd9eedd72fb7116c50ec61e2f4f9f76e0a6e30
",,gitoxide,ext3-expr-active,800,178,19,extracted within impl + invoc Self::bar
true,49,70,438,0,558,0.558,"c89ecdef0cf197cda674f4790e31f0158eb35ae7
","https://github.com/sewenthy/gitoxide/commit/c89ecdef0cf197cda674f4790e31f0158eb35ae7
",,gitoxide,ext-com1-expr-active,574,84,47,nclf
true,95,108,1124,1,1328,1.328,"49bdc3d607366de119f9f47c720cbe0d35c44846
","https://github.com/sewenthy/gitoxide/commit/49bdc3d607366de119f9f47c720cbe0d35c44846
",,gitoxide,ext-com2-expr-active,6761,192,73,2 lifetimes usage + good elision
true,60,97,839,1,997,0.997,"b8089ee36bec716ce19699c2a60f5d47b0d3ac7b
","https://github.com/sewenthy/gitoxide/commit/b8089ee36bec716ce19699c2a60f5d47b0d3ac7b
",,gitoxide,inline-ext1-expr-active,375,86,32,nclf + lifetime within traits + some non-elidibles
true,86,128,2172,3,2388,2.388,"f171424ee3d007abeae3ac50df63c4223a293f9b
","https://github.com/sewenthy/gitoxide/commit/f171424ee3d007abeae3ac50df63c4223a293f9b
",,gitoxide,inline-ext2-expr-active,3759,122,60,generic has lifetimes + very complex boundings--good to show
false,65,135,1012,1,1212,1.212,"345587d56fa74f9173910bae4e8eab4438dec6e1
","https://github.com/sewenthy/gitoxide/commit/345587d56fa74f9173910bae4e8eab4438dec6e1
",cargo,gitoxide,inline-ext3-expr-active,20211,216,121,failed due to cargo check
