SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NOTES
true,64,54,269,0,387,0.387,"849481a662e715de5585cfeab9f3e013354a4acc
","https://github.com/sewenthy/petgraph/commit/849481a662e715de5585cfeab9f3e013354a4acc
",,petgraph,ext1-expr-active,20114,89,27,within impl
true,154,164,931,0,1251,1.2510000000000001,"cbe5f7b7e8cdf3cac02c2cb17111d068aae53333
","https://github.com/sewenthy/petgraph/commit/cbe5f7b7e8cdf3cac02c2cb17111d068aae53333
",,petgraph,ext2-expr-active,20115,921,20,new impl with generics annotated + invoc using self.bar
true,126,138,1609,1,1874,1.874,"6dd9848eb2d2ae57f3d5333f38a4f737a4d9c3cf
","https://github.com/sewenthy/petgraph/commit/6dd9848eb2d2ae57f3d5333f38a4f737a4d9c3cf
",,petgraph,ext3-expr-active,20115,921,8,new impl + invoc using self.bar + lt bound needed between genrics and output
true,99,113,1713,0,1926,1.926,"2bd34bb133a49bb9e81136bc8a96881c69ddf414
","https://github.com/sewenthy/petgraph/commit/2bd34bb133a49bb9e81136bc8a96881c69ddf414
",,petgraph,ext4-expr-active,20113,264,54,
true,57,88,778,0,924,0.924,"f42c796d8dc21425c36f1425f6df138ece4a136e
","https://github.com/sewenthy/petgraph/commit/f42c796d8dc21425c36f1425f6df138ece4a136e
",,petgraph,ext5-expr-active,20113,55,122,
true,126,151,1021,0,1299,1.299,"b6569f45ff6361c2b06bee28ce261816cfa12056
","https://github.com/sewenthy/petgraph/commit/b6569f45ff6361c2b06bee28ce261816cfa12056
",,petgraph,ext6-expr-active,20113,815,22,has self so smart not elide
false,87,107,415,1,610,0.61,"bd4d579c6e54eeebb8111b09a8174e7d7df1bbb4
","https://github.com/sewenthy/petgraph/commit/bd4d579c6e54eeebb8111b09a8174e7d7df1bbb4
",cargo,petgraph,inline-ext1-expr-active,20157,308,54,failed due to type inference on generics
true,77,59,826,0,964,0.964,"f62ec77a9486331dfbe573035239df697728dac5
","https://github.com/sewenthy/gitoxide/commit/f62ec77a9486331dfbe573035239df697728dac5
",,gitoxide,ext1-expr-active,9131,56,9,
true,78,77,1009,1,1166,1.166,"88d53d9c526810041f3c350538a7b7f756579c0b
","https://github.com/sewenthy/gitoxide/commit/88d53d9c526810041f3c350538a7b7f756579c0b
",,gitoxide,ext2-expr-active,771,109,53,complex lifetime + bounds + nlcf--used in paper
true,91,85,581,0,758,0.758,"6d756d360269510cddf8931b44036b6a90f34723
","https://github.com/sewenthy/gitoxide/commit/6d756d360269510cddf8931b44036b6a90f34723
",,gitoxide,ext3-expr-active,800,178,19,extracted within impl + invoc Self::bar
