SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,FEATURES,NOTES
true,76,103,369,0,550,0.55,"91d04cfbae85103b3af6ece7af39238f183b3d40
","https://github.com/sewenthy/petgraph/commit/91d04cfbae85103b3af6ece7af39238f183b3d40
",,petgraph,ext1-expr-active,20114,89,27,,within impl
true,114,135,1147,0,1397,1.397,"52e037303180ac04d170563a4e542d388fb11587
","https://github.com/sewenthy/petgraph/commit/52e037303180ac04d170563a4e542d388fb11587
",,petgraph,ext2-expr-active,20115,921,20,,new impl with generics annotated + invoc using self.bar
true,116,125,1849,1,2090,2.09,"7772e03cbfa8966966ceb4b49a11ca568cba6df5
","https://github.com/sewenthy/petgraph/commit/7772e03cbfa8966966ceb4b49a11ca568cba6df5
",,petgraph,ext3-expr-active,20115,921,8,"""non_elidible_lifetimes""",new impl + invoc using self.bar + lt bound needed between genrics and output
true,93,77,2259,0,2430,2.43,"913ac34076c643bd1c3602863ca91f219ac70e42
","https://github.com/sewenthy/petgraph/commit/913ac34076c643bd1c3602863ca91f219ac70e42
",,petgraph,ext4-expr-active,20113,264,54,"""borrow""",
true,95,103,1100,0,1299,1.299,"fbd27977becd498fdec5d06ed2751c0e9f4740f8
","https://github.com/sewenthy/petgraph/commit/fbd27977becd498fdec5d06ed2751c0e9f4740f8
",,petgraph,ext5-expr-active,20113,55,122,"""borrow""""mutable_borrow""",
true,115,126,1146,0,1387,1.387,"7677892a665ac69c5857b06d5863227e05612087
","https://github.com/sewenthy/petgraph/commit/7677892a665ac69c5857b06d5863227e05612087
",,petgraph,ext6-expr-active,20113,815,22,"""borrow""",has self so smart not elide
false,82,93,565,1,741,0.741,"fc47e4fcdd3a373e48729092ece4761d9befb5e2
","https://github.com/sewenthy/petgraph/commit/fc47e4fcdd3a373e48729092ece4761d9befb5e2
",cargo,petgraph,inline-ext1-expr-active,20157,308,54,"""borrow""""non_elidible_lifetimes""",failed due to type inference on generics
true,88,67,1051,0,1207,1.207,"d8730846a5290dd4d37e9e06fd4e24843fef9768
","https://github.com/sewenthy/gitoxide/commit/d8730846a5290dd4d37e9e06fd4e24843fef9768
",,gitoxide,ext1-expr-active,9131,56,9,,
true,83,88,1470,1,1643,1.643,"fb5eb5e0b4ac92e470376617b837ff02c9f5ffff
","https://github.com/sewenthy/gitoxide/commit/fb5eb5e0b4ac92e470376617b837ff02c9f5ffff
",,gitoxide,ext2-expr-active,771,109,53,"""non_local_return""""non_elidible_lifetimes""",complex lifetime + bounds + nlcf--used in paper
true,78,89,706,0,874,0.874,"1fd40cb2c6d35ebe467354c94aedcb8023bb08f2
","https://github.com/sewenthy/gitoxide/commit/1fd40cb2c6d35ebe467354c94aedcb8023bb08f2
",,gitoxide,ext3-expr-active,800,178,19,,extracted within impl + invoc Self::bar
