SUCCESS,PROJECT,BRANCH,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NUM_INPUTS,FEATURES,INTELLIJ_OLD,RUST_ANALYZER,NOTES
true,petgraph,ext1-expr-active,54,76,288,0,419,0.419,"145317cbcdb340b15ce7eccc1eee6db81f1a4aed
","https://github.com/sewenthy/petgraph/commit/145317cbcdb340b15ce7eccc1eee6db81f1a4aed
",,20114,89,27,2,[],not_ran,not_ran,within impl
true,petgraph,ext2-expr-active,97,62,794,0,954,0.9540000000000001,"f0b43bbd050353a50c6db0416049ac239c9adb0b
","https://github.com/sewenthy/petgraph/commit/f0b43bbd050353a50c6db0416049ac239c9adb0b
",,20115,921,20,3,[],not_ran,not_ran,"new impl with generics annotated + invoc using self.bar, RA failed re-declared same generics"
true,petgraph,ext3-expr-active,97,91,1305,1,1495,1.495,"4a272c91baf9dac455b96813571a364c21c5fd8c
","https://github.com/sewenthy/petgraph/commit/4a272c91baf9dac455b96813571a364c21c5fd8c
",,20115,921,8,2,"[""non_elidible_lifetimes""]",not_ran,not_ran,"new impl + invoc using self.bar + lt bound needed between genrics and output, RA failed no lt annotations, IJ no annotations"
true,petgraph,ext4-expr-active,77,81,1571,0,1729,1.729,"b0dfa4c697698023f29be58315d9cedecf1b5da8
","https://github.com/sewenthy/petgraph/commit/b0dfa4c697698023f29be58315d9cedecf1b5da8
",,20113,264,54,4,"[""immutable_borrow"",""struct_has_lifetime_slot""]",not_ran,not_ran,"RA tried to re-declare same generics again--failed, IJ got by on elided lt"
true,petgraph,ext5-expr-active,74,77,743,0,895,0.895,"9d155ccfd3f84125b3810bf1c6963e9b08fd565c
","https://github.com/sewenthy/petgraph/commit/9d155ccfd3f84125b3810bf1c6963e9b08fd565c
",,20113,55,122,2,"[""immutable_borrow"",""mutable_borrow""]",not_ran,not_ran,RA did not declare generics
true,petgraph,ext6-expr-active,95,75,772,0,943,0.9430000000000001,"dc0b0f8f0db8b015e9491ec94f7cc2f6a3fb0921
","https://github.com/sewenthy/petgraph/commit/dc0b0f8f0db8b015e9491ec94f7cc2f6a3fb0921
",,20113,815,22,2,"[""immutable_borrow""]",not_ran,not_ran,has self so smart not elide
false,petgraph,inline-ext1-expr-active,78,55,374,1,508,0.508,"c50c8512367272bc5e3f9c36341682fdf7e1b830
","https://github.com/sewenthy/petgraph/commit/c50c8512367272bc5e3f9c36341682fdf7e1b830
",cargo,20157,308,54,4,"[""immutable_borrow"",""non_elidible_lifetimes""]",not_ran,not_ran,"failed due to type inference on generics, RA & IJ also failed generics inferences"
true,gitoxide,ext1-expr-active,72,72,796,0,942,0.9420000000000001,"2e106bedba756e4eafb3752edb0fdba0d7f03a65
","https://github.com/sewenthy/gitoxide/commit/2e106bedba756e4eafb3752edb0fdba0d7f03a65
",,9131,56,9,1,[],not_ran,not_ran,
true,gitoxide,ext2-expr-active,74,76,1069,1,1220,1.22,"9bd5b48157fe0a4ac5da55db225cd2c0de64d1df
","https://github.com/sewenthy/gitoxide/commit/9bd5b48157fe0a4ac5da55db225cd2c0de64d1df
",,771,109,53,6,"[""non_local_return"",""non_elidible_lifetimes"",""struct_has_lifetime_slot""]",not_ran,not_ran,complex lifetime + bounds + nlcf--used in paper
true,gitoxide,ext3-expr-active,75,70,489,0,635,0.635,"c7eec50a543ec109377ae451cfc2ccbb16c13ba4
","https://github.com/sewenthy/gitoxide/commit/c7eec50a543ec109377ae451cfc2ccbb16c13ba4
",,800,178,19,1,[],not_ran,not_ran,"extracted within impl + invoc Self::bar, has question ?, RA will also failed even after helping with import"
