SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE
true,81,96,311,0,490,0.49,"c33cff5a42064594187924355b1927d87fe87fc5
","https://github.com/sewenthy/petgraph/commit/c33cff5a42064594187924355b1927d87fe87fc5
",,petgraph,ext1-expr-active,20114,89,27
true,82,56,806,0,945,0.9450000000000001,"16561befd6f0b14d5c1ce71b29719c2587778428
","https://github.com/sewenthy/gitoxide/commit/16561befd6f0b14d5c1ce71b29719c2587778428
",,gitoxide,ext1-expr-active,9131,56,9
true,82,110,1066,1,1258,1.258,"d71c367e2b842f0df8978dcc750db735bef4a6fb
","https://github.com/sewenthy/gitoxide/commit/d71c367e2b842f0df8978dcc750db735bef4a6fb
",,gitoxide,ext2-expr-active,771,109,53
true,55,63,465,0,584,0.584,"fb1fba46afa8e23c5162c8f10df0b5ed9e202a4c
","https://github.com/sewenthy/gitoxide/commit/fb1fba46afa8e23c5162c8f10df0b5ed9e202a4c
",,gitoxide,ext-com1-expr-active,574,84,47
true,77,113,1174,1,1365,1.365,"89238d72ee2a79c16e9f7cbc2275934f80a267ca
","https://github.com/sewenthy/gitoxide/commit/89238d72ee2a79c16e9f7cbc2275934f80a267ca
",,gitoxide,ext-com2-expr-active,6761,192,73
true,89,107,909,1,1106,1.106,"d2a0abc71ec22cb14ba9872e435b7f740da55ab0
","https://github.com/sewenthy/gitoxide/commit/d2a0abc71ec22cb14ba9872e435b7f740da55ab0
",,gitoxide,inline-ext1-expr-active,375,86,32
true,87,131,2388,3,2607,2.607,"29122ebfc29ef7dc15af673797f1fda120a13bc7
","https://github.com/sewenthy/gitoxide/commit/29122ebfc29ef7dc15af673797f1fda120a13bc7
",,gitoxide,inline-ext2-expr-active,3759,122,60
false,106,143,992,1,1242,1.242,"3b924804fcd545009244933088a76659a06bbfa5
","https://github.com/sewenthy/gitoxide/commit/3b924804fcd545009244933088a76659a06bbfa5
",cargo,gitoxide,inline-ext3-expr-active,20211,216,121
true,88,113,574,0,776,0.776,"b6507b29dd33b89f6575e68a61b1e419f34a7b36
","https://github.com/sewenthy/gitoxide/commit/b6507b29dd33b89f6575e68a61b1e419f34a7b36
",,gitoxide,inline-ext4-expr-active,630,154,52
true,94,113,564,0,772,0.772,"4e7de9958e125e04dfe15279c971df5f167c18a3
","https://github.com/sewenthy/gitoxide/commit/4e7de9958e125e04dfe15279c971df5f167c18a3
",,gitoxide,inline-ext5-expr-active,625,149,49
true,99,60,632,0,791,0.791,"4e3ad64ce0d83f27c58e0d36eddc87e856ba4fe3
","https://github.com/sewenthy/gitoxide/commit/4e3ad64ce0d83f27c58e0d36eddc87e856ba4fe3
",,gitoxide,inline-ext6-expr-active,1428,143,144
true,56,65,497,0,619,0.619,"939b71df875b97d2ac393a5170c89470824cb556
","https://github.com/sewenthy/gitoxide/commit/939b71df875b97d2ac393a5170c89470824cb556
",,gitoxide,inline-ext7-expr-active,1026,72,43
true,111,100,738,0,950,0.9500000000000001,"b3ef271190958adfadc6f8abfedb359966722f3f
","https://github.com/sewenthy/kickoff/commit/b3ef271190958adfadc6f8abfedb359966722f3f
",,kickoff,inline-ext1-expr-active,1502,324,56
true,124,81,965,0,1170,1.17,"ab7aa5712687e6a4718dca298d85b681bf84f4bd
","https://github.com/sewenthy/sniffnet/commit/ab7aa5712687e6a4718dca298d85b681bf84f4bd
",,sniffnet,inline-ext1-expr-active,7283,352,72
false,101,122,623,1,846,0.846,"7d1fadb6a36621a4a759f6db94ffe3dababb7f64
","https://github.com/sewenthy/sniffnet/commit/7d1fadb6a36621a4a759f6db94ffe3dababb7f64
",cargo,sniffnet,inline-ext2-expr-active,7304,179,182
true,77,84,927,0,1089,1.089,"663d47553680b7fa98a24b7a7bd6d1c4d4583fee
","https://github.com/sewenthy/beerus/commit/663d47553680b7fa98a24b7a7bd6d1c4d4583fee
",,beerus,ext-com1-expr-active,302,63,27
