SUCCESS,Project,Type,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NUM_INPUTS,FEATURES,IJ,RA,NOTES,CALLEE_SIZE,FEATURES_JSON,Non elidible lifetimes,Immutable borrow,Struct has lifetime slot,Mutable borrow,Non local return,Non local loop
\cmark,petgraph,$\circlearrowleft$,44,78,249,0,373,0.373,"ba5cadb48742c953d2c98562b5ccaf3adfb124cf
","https://github.com/sewenthy/petgraph/commit/ba5cadb48742c953d2c98562b5ccaf3adfb124cf
",,20114,89,21,2,[],\cmark,\small{\Stopsign},within impl,10,[],,,,,,
\cmark,petgraph,$\circlearrowleft$,79,111,824,0,1016,1.016,"21ff93ca047e7914daec06823ae6b6792409ac0f
","https://github.com/sewenthy/petgraph/commit/21ff93ca047e7914daec06823ae6b6792409ac0f
",,20115,914,20,3,[],\cmark,\xmark,"new impl with generics annotated + invoc using self.bar, RA failed re-declared same generics",11,[],,,,,,
\cmark,petgraph,$\circlearrowleft$,98,74,1295,1,1468,1.468,"d482ad5ebc2defdb21ea679309f063f5e6a9e550
","https://github.com/sewenthy/petgraph/commit/d482ad5ebc2defdb21ea679309f063f5e6a9e550
",,20115,915,8,2,"[""non_elidible_lifetimes""]",\xmark,\xmark,"new impl + invoc using self.bar + lt bound needed between genrics and output, RA failed no lt annotations, IJ no annotations",5,['non_elidible_lifetimes'],\cmark,,,,,
\cmark,petgraph,$\circlearrowleft$,54,81,1565,0,1701,1.701,"c2d59bf48b3898c28623bba417f0cc6a4c43f84f
","https://github.com/sewenthy/petgraph/commit/c2d59bf48b3898c28623bba417f0cc6a4c43f84f
",,20113,266,54,4,"[""immutable_borrow"",""struct_has_lifetime_slot""]",\cmark,\xmark,"RA tried to re-declare same generics again--failed, IJ got by on elided lt",26,"['immutable_borrow', 'struct_has_lifetime_slot']",,\cmark,\cmark,,,
\cmark,petgraph,$\circlearrowleft$,45,75,730,0,851,0.851,"1d0ac6e5e56f34d61609622f00cff2a861817246
","https://github.com/sewenthy/petgraph/commit/1d0ac6e5e56f34d61609622f00cff2a861817246
",,20113,57,51,2,"[""immutable_borrow"",""mutable_borrow""]",\cmark,\xmark,RA did not declare generics,15,"['immutable_borrow', 'mutable_borrow']",,\cmark,,\cmark,,
\cmark,petgraph,$\circlearrowleft$,63,75,841,0,980,0.98,"05437ce2242f673ddfda071a2fba7fc913056713
","https://github.com/sewenthy/petgraph/commit/05437ce2242f673ddfda071a2fba7fc913056713
",,20113,815,21,2,"[""immutable_borrow""]",\cmark,\cmark,has self so smart not elide,8,['immutable_borrow'],,\cmark,,,,
\small{\Stopsign},petgraph,$\leftrightarrows$,80,55,412,1,547,0.547,"aae8fe875467c356a2d49cb26704cd26bcb006ad
","https://github.com/sewenthy/petgraph/commit/aae8fe875467c356a2d49cb26704cd26bcb006ad
",cargo,20157,316,54,4,"[""immutable_borrow"",""non_elidible_lifetimes""]",\xmark,\xmark,"failed due to type inference on generics, RA & IJ also failed generics inferences",49,"['immutable_borrow', 'non_elidible_lifetimes']",\cmark,\cmark,,,,
\cmark,gitoxide,$\circlearrowleft$,73,75,779,0,928,0.928,"7f64152b129f7c9a6d20576229088e100e1173fb
","https://github.com/sewenthy/gitoxide/commit/7f64152b129f7c9a6d20576229088e100e1173fb
",,9131,58,8,1,[],\xmark,\cmark,,5,[],,,,,,
\cmark,gitoxide,$\circlearrowleft$,75,77,1083,1,1236,1.236,"b42a8bebba01bdcda5201ce2942e02b88e85d55c
","https://github.com/sewenthy/gitoxide/commit/b42a8bebba01bdcda5201ce2942e02b88e85d55c
",,771,130,53,6,"[""non_local_return"",""non_elidible_lifetimes"",""struct_has_lifetime_slot""]",\xmark,\xmark,complex lifetime + bounds + nlcf--used in paper,35,"['non_local_return', 'non_elidible_lifetimes', 'struct_has_lifetime_slot']",\cmark,,\cmark,,\cmark,
\cmark,gitoxide,$\circlearrowleft$,46,77,514,0,638,0.638,"dea78447524ab990f328bd044548abc5b37a2351
","https://github.com/sewenthy/gitoxide/commit/dea78447524ab990f328bd044548abc5b37a2351
",,800,176,16,1,[],\cmark,\xmark,"extracted within impl + invoc Self::bar, has question ?, RA will also failed even after helping with import",10,[],,,,,,
